filename,width,height,class,xmin,ymin,xmax,ymax
16.construction-coworkers-discussing-about-work-260nw-140317366 resized.jpg,640,480,helmet,242,42,381,162
16.construction-coworkers-discussing-about-work-260nw-140317366 resized.jpg,640,480,helmet,428,21,559,145
16.construction-coworkers-discussing-about-work-260nw-140317366 resized.jpg,640,480,vest,179,215,379,448
16.construction-coworkers-discussing-about-work-260nw-140317366 resized.jpg,640,480,vest,417,201,640,441
16.constructionworker2 resized.jpg,640,480,helmet,362,140,433,206
16.constructionworker2 resized.jpg,640,480,helmet,482,151,548,217
16.constructionworker2 resized.jpg,640,480,vest,320,223,425,364
16.constructionworker2 resized.jpg,640,480,vest,449,229,557,369
16.corporate-shake-hands resized.jpg,640,480,no helmet,219,132,296,191
16.corporate-shake-hands resized.jpg,640,480,no helmet,96,1,203,52
16.corporate-shake-hands resized.jpg,640,480,no helmet,413,24,528,85
16.full-concentration-work-group-young-260nw-1043501293 resized.jpg,640,480,no helmet,88,28,157,99
16.full-concentration-work-group-young-260nw-1043501293 resized.jpg,640,480,no helmet,265,2,334,73
16.full-concentration-work-group-young-260nw-1043501293 resized.jpg,640,480,no helmet,376,29,445,100
16.full-concentration-work-group-young-260nw-1043501293 resized.jpg,640,480,no helmet,505,44,604,121
16.two-construction-workers-on-lunch-break-stock-photograph_csp55821593 resized.jpg,640,480,helmet,130,1,279,79
16.two-construction-workers-on-lunch-break-stock-photograph_csp55821593 resized.jpg,640,480,helmet,389,88,478,150
16.two-construction-workers-on-lunch-break-stock-photograph_csp55821593 resized.jpg,640,480,vest,84,126,266,382
17.22801523-building-workers-at-construction-site-doing-concrete-works-with-barrel resized.jpg,640,480,helmet,258,139,291,186
17.382_3 resized.jpg,640,480,no helmet,374,8,546,91
17.happy-successful-multiracial-business-team-giving-people-working-together-ss resized.jpg,640,480,no helmet,167,32,243,84
17.happy-successful-multiracial-business-team-giving-people-working-together-ss resized.jpg,640,480,no helmet,486,61,587,121
17.happy-successful-multiracial-business-team-giving-people-working-together-ss resized.jpg,640,480,no vest,306,232,438,451
17.happy-successful-multiracial-business-team-giving-people-working-together-ss resized.jpg,640,480,no vest,456,192,611,462
17.Hard-Hat-Foundation resized.jpg,640,480,helmet,207,129,276,187
17.Hard-Hat-Foundation resized.jpg,640,480,helmet,332,130,397,184
17.Hard-Hat-Foundation resized.jpg,640,480,helmet,457,118,532,182
17.Hard-Hat-Foundation resized.jpg,640,480,vest,161,215,287,396
17.Hard-Hat-Foundation resized.jpg,640,480,vest,303,213,429,394
17.Hard-Hat-Foundation resized.jpg,640,480,vest,442,213,557,413
17.photo-business-people-172749-5799201 resized.jpg,640,480,no helmet,337,53,419,147
17.photo-business-people-172749-5799201 resized.jpg,640,480,no helmet,431,30,537,105
17.photo-business-people-172749-5799201 resized.jpg,640,480,no vest,293,198,436,402
17.photo-business-people-172749-5799201 resized.jpg,640,480,no vest,456,195,630,445
17.SFT_Labor_0818-640x376 resized.jpg,640,480,helmet,99,8,154,67
17.SFT_Labor_0818-640x376 resized.jpg,640,480,helmet,271,18,329,75
17.SFT_Labor_0818-640x376 resized.jpg,640,480,helmet,547,6,599,70
17.SFT_Labor_0818-640x376 resized.jpg,640,480,helmet,475,69,519,116
17.SFT_Labor_0818-640x376 resized.jpg,640,480,helmet,422,82,468,135
17.SFT_Labor_0818-640x376 resized.jpg,640,480,helmet,372,131,409,169
17.SFT_Labor_0818-640x376 resized.jpg,640,480,vest,72,105,171,310
17.SFT_Labor_0818-640x376 resized.jpg,640,480,vest,246,118,358,335
17.SFT_Labor_0818-640x376 resized.jpg,640,480,vest,515,102,625,303
18.45e8f4939bc3bd36e4b87ab1e324d227_XL resized.jpg,640,480,no helmet,441,212,490,264
18.45e8f4939bc3bd36e4b87ab1e324d227_XL resized.jpg,640,480,no helmet,154,166,203,208
18.45e8f4939bc3bd36e4b87ab1e324d227_XL resized.jpg,640,480,no vest,148,215,198,346
18.construction-workers---2 resized.jpg,640,480,helmet,211,139,260,187
18.construction-workers---2 resized.jpg,640,480,helmet,311,141,364,184
18.construction-workers---2 resized.jpg,640,480,helmet,374,128,433,184
18.construction-workers---2 resized.jpg,640,480,helmet,483,108,546,179
18.construction-workers---2 resized.jpg,640,480,helmet,437,151,487,216
18.construction-workers---2 resized.jpg,640,480,helmet,118,117,167,175
18.construction-workers---2 resized.jpg,640,480,helmet,42,139,108,198
